id;abbreviation;ekatte_num;name
193;BLG03-22;78464;Церово
198;BLG11-05;17347;Господинци
199;BLG11-07;38666;Корница
200;BLG11-08;44416;Лъжница
201;BLG11-09;49432;Мосомище
203;BLG13-02;16763;Горно Дряново
204;BLG13-03;20331;Дебрен
205;BLG13-04;22616;Долно Дряново
206;BLG13-05;24267;Дъбница
207;BLG13-07;40138;Крушево
208;BLG13-08;47408;Марчево
209;BLG13-09;53326;Огняново
210;BLG13-10;53727;Ореше
211;BLG13-11;54184;Осиково
212;BLG13-12;62640;Рибново
213;BLG13-13;66874;Скребатно
214;BLG13-14;77222;Хвостяне
215;BLG28-01;16136;Горна Брезница
216;BLG28-02;22068;Долна Градешница
217;BLG28-05;67369;Сливница
219;BLG33-06;14091;Габрене
220;BLG33-07;14581;Гега
221;BLG33-09;22143;Долна Крушица
222;BLG33-10;22246;Долна Рибница
223;BLG33-11;22842;Долно Спанчево
224;BLG33-13;23563;Дрангово
225;BLG33-16;35081;Кавракирово
226;BLG33-17;35688;Камена
227;BLG33-18;36083;Капатово
228;BLG33-19;37349;Ключ
229;BLG33-20;37989;Коларово
230;BLG33-21;39935;Кромидово
231;BLG33-23;40539;Кулата
232;BLG33-24;40912;Кърналово
233;BLG33-25;47189;Марикостиново
234;BLG33-26;47247;Марино поле
235;BLG33-27;47799;Мендово
236;BLG33-28;48458;Митино
237;BLG33-29;48578;Михнево
238;BLG33-30;49312;Рупите
239;BLG33-31;52091;Ново Кономлади
240;BLG33-33;58390;Генерал Тодоров
241;BLG33-34;59077;Първомай
242;BLG33-35;62623;Рибник
243;BLG33-36;63542;Ръждак
244;BLG33-37;65293;Самуилово
245;BLG33-39;66901;Скрът
246;BLG33-40;69119;Старчево
247;BLG33-41;69941;Струмешница
248;BLG33-42;72744;Тополница
249;BLG33-44;81791;Чуричени
250;BLG33-45;81832;Чучулигово
251;BLG33-46;87134;Яворница
254;BLG37-03;15326;Годлево
255;BLG37-04;16754;Горно Драглище
256;BLG37-05;21748;Добърско
257;BLG37-06;22602;Долно Драглище
258;BLG37-07;27293;Елешница
259;BLG40-03;12200;Враня
260;BLG40-04;12471;Вълково
261;BLG40-08;20105;Дамяница
262;BLG40-10;20780;Джигурово
263;BLG40-13;35362;Калиманци
181;BLG03-03;04217;Бистрица
182;BLG03-05;07377;Българчево
194;BLG11-01;02600;Баничан
195;BLG11-02;05606;Борово
197;BLG11-04;07003;Буково
202;BLG13-01;02381;Балдево
218;BLG33-02;03294;Беласица
252;BLG37-01;02693;Баня
253;BLG37-02;02960;Бачево
264;BLG40-14;36693;Катунци
265;BLG40-19;43150;Ласкарево
266;BLG40-20;43181;Лебница
267;BLG40-21;43243;Левуново
268;BLG40-23;43565;Лешница
269;BLG40-24;43699;Лиляново
270;BLG40-28;47754;Мелник
271;BLG40-29;52074;Ново Делчево
272;BLG40-31;56174;Петрово
273;BLG40-33;56410;Пирин
274;BLG40-34;56839;Плоски
275;BLG40-35;57176;Поленица
276;BLG40-37;66785;Склаве
277;BLG40-38;68223;Спатово
278;BLG40-39;69938;Струма
279;BLG40-41;77361;Хотово
280;BLG40-42;77565;Хърсово
281;BLG40-44;87446;Яново
283;BLG42-02;10046;Ваклиново
284;BLG42-03;12499;Вълкосел
285;BLG42-04;15312;Годешево
286;BLG42-05;21868;Долен
287;BLG42-06;29372;Жижево
288;BLG42-07;39089;Кочан
289;BLG42-08;39726;Крибул
290;BLG42-09;54225;Осина
291;BLG42-10;56740;Плетена
292;BLG42-11;67270;Слащен
293;BLG42-12;73519;Туховища
294;BLG42-13;76203;Фъргово
296;BLG44-02;17405;Градево
297;BLG44-03;22753;Долно Осеново
298;BLG44-04;29146;Железница
299;BLG44-06;40052;Крупник
300;BLG44-07;57162;Полена
301;BLG44-08;57203;Полето
302;BLG44-11;81013;Черниче
303;BLG49-04;21467;Добри лаки
304;BLG49-05;23532;Драката
305;BLG49-06;32322;Игралище
306;BLG49-07;32665;Илинденци
307;BLG49-08;35818;Каменица
308;BLG49-12;49686;Микрево
309;BLG49-15;61772;Раздол
310;BLG49-17;78046;Цапарево
314;BLG52-06;38532;Копривлен
315;BLG52-09;52101;Ново Лески
316;BLG52-11;56109;Петрелик
317;BLG52-12;65108;Садово
318;BLG52-13;72268;Теплен
319;BLG52-14;72374;Тешово
323;BLG53-04;32603;Смолево
324;BLG53-05;38220;Конарско
325;BLG53-06;81850;Черна Места
326;BLG53-07;86101;Юруково
329;DOB03-03;18160;Гурково
330;DOB03-04;23769;Дропла
331;DOB03-05;24387;Дъбрава
332;DOB03-06;31245;Змеево
333;DOB03-07;39459;Кранево
334;DOB03-08;39623;Кремена
335;DOB03-09;44882;Ляхово
336;DOB03-10;48982;Царичино
337;DOB03-11;53120;Оброчище
338;DOB03-12;58270;Преспа
339;DOB03-13;62788;Рогачево
340;DOB03-14;66250;Сенокос
341;DOB03-15;67951;Соколово
342;DOB03-16;69643;Стражица
343;DOB03-17;73095;Тригорци
344;DOB03-19;78639;Църква
345;DOB12-04;10183;Василево
346;DOB12-08;18575;Горица
347;DOB12-09;24339;Дъбовик
348;DOB12-10;29444;Житен
349;DOB12-12;32467;Изворово
350;DOB12-13;34045;Йовково
351;DOB12-15;36467;Кардам
311;BLG52-01;00014;Абланица
312;BLG52-02;03976;Беслен
313;BLG52-03;04399;Блатска
320;BLG53-01;00059;Аврамово
321;BLG53-02;03561;Бел камен
322;BLG53-03;07822;Бунцево
327;DOB03-01;03174;Безводица
328;DOB03-02;04515;Бобовец
352;DOB12-18;39534;Красен
353;DOB12-19;40885;Къпиново
354;DOB12-21;44714;Люляково
355;DOB12-22;46351;Малина
356;DOB12-23;56040;Петлешково
